Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Sierra Leone,SLE,2023.0,41.48519933223725,,,2018.0,SLE,2023.0,1293163696.0,2022.0
Singapore,,,,,,,SGP,2023.0,17898548828.0,2022.0
Slovakia,SVK,2023.0,0.4521372728049755,5518057.0,Europe,,SVK,2023.0,10501900390.0,2021.0
Slovenia,SVN,2023.0,0.0,2118394.0,Europe,,SVN,2023.0,5671363769.0,2021.0
South Africa,,,,,,,ZAF,2023.0,52742125000.0,
South Korea,KOR,2023.0,0.2487649209797382,,,2021.0,KOR,2023.0,126499585937.0,2021.0
Spain,ESP,2023.0,0.8134083822369576,47911583.0,Europe,,ESP,2023.0,106992882812.0,2021.0
Sri Lanka,LKA,2023.0,2.7054540812969208,,,2019.0,LKA,2023.0,6805573242.0,2018.0
Suriname,SUR,2023.0,2.178042568266392,,,2022.0,,,,
Sweden,SWE,2023.0,0.8379480801522732,10551493.0,Europe,,SWE,2023.0,52665718750.0,2021.0
Switzerland,CHE,2023.0,0.2086946740746498,,,2022.0,CHE,2023.0,39109351562.0,2021.0
Syria,SYR,2023.0,16.470307111740112,,,2022.0,,,,
Taiwan,TWN,2023.0,0.0,,,2021.0,,,,
Tajikistan,TJK,2023.0,7.291276007890701,10389807.0,Asia,,TJK,2023.0,1397964111.0,2015.0
Tanzania,TZA,2023.0,51.34686827659607,,,2018.0,TZA,2023.0,6630735839.0,2018.0
Thailand,THA,2023.0,0.0048422549298265,71702436.0,Asia,,THA,2023.0,56243804687.0,2013.0
Togo,TGO,2023.0,34.418004751205444,,,2021.0,TGO,2023.0,883533264.0,2018.0
Tonga,TON,2023.0,0.4088190384209156,,,2021.0,,,,
Trinidad and Tobago,,,,,,,TTO,2023.0,1369510498.0,
Tunisia,TUN,2023.0,0.6540433503687382,,,2021.0,TUN,2023.0,9633765625.0,2015.0
Turkey,TUR,2023.0,0.5295797251164913,,,2022.0,TUR,2023.0,109267906250.0,2021.0
Tuvalu,,,,,,,TUV,2023.0,8140370.0,
Uganda,UGA,2023.0,59.78437662124634,,,2019.0,UGA,2023.0,2177502441.0,2018.0
Ukraine,UKR,2023.0,0.0337677513016387,,,2020.0,UKR,2023.0,41070976562.0,2021.0
United Arab Emirates,ARE,2023.0,0.0,,,2018.0,ARE,2023.0,26900597656.0,2021.0
United Kingdom,GBR,2023.0,0.498311361297965,,,2021.0,GBR,2023.0,192433609375.0,2021.0
United States,USA,2023.0,1.2497341260313988,343477330.0,North America,,USA,2023.0,1210540625000.0,2021.0
Uruguay,URY,2023.0,0.1693896949291229,3388083.0,South America,,URY,2023.0,5051994628.0,2022.0
Uzbekistan,UZB,2023.0,4.066276550292969,35652311.0,Asia,,UZB,2023.0,14019171875.0,2021.0
Vanuatu,VUT,2023.0,19.49560344219208,,,2019.0,VUT,2023.0,22676359.0,2020.0
Vietnam,VNM,2023.0,1.60335972905159,,,2022.0,VNM,2023.0,37127199218.0,2018.0
Zambia,ZMB,2023.0,71.6561496257782,,,2022.0,ZMB,2023.0,3325606445.0,2018.0
Zimbabwe,ZWE,2023.0,49.21989440917969,,,2019.0,ZWE,2023.0,1227974487.0,2018.0
